System_Time,Timestamp_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Acc_X_1,Acc_Y_1,Acc_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Quat_W_1,Quat_X_1,Quat_Y_1,Quat_Z_1,Linear_Acc_X_1,Linear_Acc_Y_1,Linear_Acc_Z_1,Timestamp_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Acc_X_2,Acc_Y_2,Acc_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Quat_W_2,Quat_X_2,Quat_Y_2,Quat_Z_2,Linear_Acc_X_2,Linear_Acc_Y_2,Linear_Acc_Z_2,Timestamp_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3,Acc_X_3,Acc_Y_3,Acc_Z_3,Mag_X_3,Mag_Y_3,Mag_Z_3,Quat_W_3,Quat_X_3,Quat_Y_3,Quat_Z_3,Linear_Acc_X_3,Linear_Acc_Y_3,Linear_Acc_Z_3,kd_joint1,kd_joint2,kp_joint1,kp_joint2,p_des_joint1,p_des_joint2,ret0_joint1,ret0_joint2,ret1_joint1,ret1_joint2,ret2_joint1,ret2_joint2,t_ff_joint1,t_ff_joint2,v_des_joint1,v_des_joint2
37:06.6,299.805,-0.186,0.098,0.073,-0.28,-0.99,0.078,9.09,-4.85,-51.38,0.6448,-0.7223,-0.0568,-0.2432,-0.015,0.025,0,286.86,0.057,-0.14,-0.007,-0.242,-0.956,-0.159,23.23,-21.83,-76.38,-0.7117,0.5388,-0.3578,-0.2737,0.036,-0.008,-0.004,288.27,0.125,0.247,0.092,-0.064,-0.991,0.064,62.17,-11.16,-72.55,-0.4109,0.4531,0.5501,0.5683,0.001,-0.006,-0.049,0,0,0,0,0,0,0.000191689,0.000575066,0.03663063,-0.153846741,-0.003663063,-0.003663063,0,0,0,0
37:06.6,299.81,-0.196,0.104,0.071,-0.279,-0.99,0.078,9.47,-5.87,-51.09,0.6451,-0.722,-0.0567,-0.2435,-0.015,0.025,-0.001,286.86,0.057,-0.14,-0.007,-0.242,-0.956,-0.159,23.23,-21.83,-76.38,-0.7117,0.5388,-0.3578,-0.2737,0.036,-0.008,-0.004,288.27,0.125,0.247,0.092,-0.064,-0.991,0.064,62.17,-11.16,-72.55,-0.4109,0.4531,0.5501,0.5683,0.001,-0.006,-0.049,0,0,0,0,0,0,0.000191689,0.000575066,0.03663063,-0.153846741,-0.003663063,-0.003663063,0,0,0,0
37:06.6,299.815,-0.205,0.102,0.066,-0.281,-0.989,0.08,9.47,-5.87,-51.09,0.6454,-0.7216,-0.0566,-0.2438,-0.014,0.024,-0.003,286.86,0.057,-0.14,-0.007,-0.242,-0.956,-0.159,23.23,-21.83,-76.38,-0.7117,0.5388,-0.3578,-0.2737,0.036,-0.008,-0.004,288.27,0.125,0.247,0.092,-0.064,-0.991,0.064,62.17,-11.16,-72.55,-0.4109,0.4531,0.5501,0.5683,0.001,-0.006,-0.049,0,0,0,0,0,0,0.000191689,0.000575066,0.03663063,-0.153846741,-0.003663063,-0.003663063,0,0,0,0
37:06.6,299.82,-0.213,0.099,0.062,-0.283,-0.986,0.078,9.06,-4.67,-51.56,0.6457,-0.7212,-0.0565,-0.2441,-0.013,0.021,-0.003,286.86,0.057,-0.14,-0.007,-0.242,-0.956,-0.159,23.23,-21.83,-76.38,-0.7117,0.5388,-0.3578,-0.2737,0.036,-0.008,-0.004,288.27,0.125,0.247,0.092,-0.064,-0.991,0.064,62.17,-11.16,-72.55,-0.4109,0.4531,0.5501,0.5683,0.001,-0.006,-0.049,0,0,0,0,0,0,0.000191689,0.000575066,0.03663063,-0.153846741,-0.003663063,-0.003663063,0,0,0,0
37:06.6,299.825,-0.219,0.096,0.057,-0.281,-0.985,0.076,9.06,-4.67,-51.56,0.6461,-0.7208,-0.0564,-0.2444,-0.014,0.021,-0.003,286.86,0.057,-0.14,-0.007,-0.242,-0.956,-0.159,23.23,-21.83,-76.38,-0.7117,0.5388,-0.3578,-0.2737,0.036,-0.008,-0.004,288.27,0.125,0.247,0.092,-0.064,-0.991,0.064,62.17,-11.16,-72.55,-0.4109,0.4531,0.5501,0.5683,0.001,-0.006,-0.049,0,0,0,0,0,0,0.000191689,0.000575066,0.03663063,-0.153846741,-0.003663063,-0.003663063,0,0,0,0
37:06.6,299.83,-0.224,0.095,0.052,-0.283,-0.984,0.074,9.06,-4.67,-51.56,0.6465,-0.7203,-0.0563,-0.2447,-0.013,0.019,-0.001,286.86,0.057,-0.14,-0.007,-0.242,-0.956,-0.159,23.23,-21.83,-76.38,-0.7117,0.5388,-0.3578,-0.2737,0.036,-0.008,-0.004,288.27,0.125,0.247,0.092,-0.064,-0.991,0.064,62.17,-11.16,-72.55,-0.4109,0.4531,0.5501,0.5683,0.001,-0.006,-0.049,0,0,0,0,0,0,0.000191689,0.000575066,0.03663063,-0.153846741,-0.003663063,-0.003663063,0,0,0,0
37:06.6,299.79,-0.142,0.096,0.078,-0.277,-0.986,0.074,9.52,-4.53,-51.03,0.644,-0.7233,-0.057,-0.2422,-0.017,0.021,0.007,286.86,0.057,-0.14,-0.007,-0.242,-0.956,-0.159,23.23,-21.83,-76.38,-0.7117,0.5388,-0.3578,-0.2737,0.036,-0.008,-0.004,288.27,0.125,0.247,0.092,-0.064,-0.991,0.064,62.17,-11.16,-72.55,-0.4109,0.4531,0.5501,0.5683,0.001,-0.006,-0.049,0,0,0,0,0,0,0.000191689,0.000575066,0.03663063,-0.153846741,-0.003663063,-0.003663063,0,0,0,0
37:06.6,299.725,-0.151,0.132,0.071,-0.291,-0.973,0.095,9.44,-4.23,-51.91,0.6413,-0.7271,-0.0575,-0.2378,0.002,0.008,-0.003,286.86,0.057,-0.14,-0.007,-0.242,-0.956,-0.159,23.23,-21.83,-76.38,-0.7117,0.5388,-0.3578,-0.2737,0.036,-0.008,-0.004,288.27,0.125,0.247,0.092,-0.064,-0.991,0.064,62.17,-11.16,-72.55,-0.4109,0.4531,0.5501,0.5683,0.001,-0.006,-0.049,0,0,0,0,0,0,0.000191689,0.000575066,0.03663063,-0.153846741,-0.003663063,-0.003663063,0,0,0,0
37:06.6,299.75,-0.144,0.123,0.068,-0.285,-0.975,0.07,9.67,-4.88,-51.27,0.6424,-0.7256,-0.0574,-0.2396,-0.005,0.009,0.017,286.86,0.057,-0.14,-0.007,-0.242,-0.956,-0.159,23.23,-21.83,-76.38,-0.7117,0.5388,-0.3578,-0.2737,0.036,-0.008,-0.004,288.27,0.125,0.247,0.092,-0.064,-0.991,0.064,62.17,-11.16,-72.55,-0.4109,0.4531,0.5501,0.5683,0.001,-0.006,-0.049,0,0,0,0,0,0,0.000191689,0.000575066,0.03663063,-0.153846741,-0.003663063,-0.003663063,0,0,0,0
37:06.6,299.88,-0.155,0.151,0.053,-0.271,-0.977,0.031,9,-4.15,-52.03,0.6496,-0.7164,-0.0561,-0.2479,-0.027,0.012,0.029,286.86,0.057,-0.14,-0.007,-0.242,-0.956,-0.159,23.23,-21.83,-76.38,-0.7117,0.5388,-0.3578,-0.2737,0.036,-0.008,-0.004,288.27,0.125,0.247,0.092,-0.064,-0.991,0.064,62.17,-11.16,-72.55,-0.4109,0.4531,0.5501,0.5683,0.001,-0.006,-0.049,0,0,0,0,0,0,0.000191689,0.000575066,0.03663063,-0.153846741,-0.003663063,-0.003663063,0,0,0,0
