time,pelvis_acc_x,pelvis_acc_y,pelvis_acc_z,pelvis_gyro_x,pelvis_gyro_y,pelvis_gyro_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,left_thigh_acc_x,left_thigh_acc_y,left_thigh_acc_z,left_thigh_gyro_x,left_thigh_gyro_y,left_thigh_gyro_z,left_thigh_quat_w,left_thigh_quat_x,left_thigh_quat_y,left_thigh_quat_z,right_thigh_acc_x,right_thigh_acc_y,right_thigh_acc_z,right_thigh_gyro_x,right_thigh_gyro_y,right_thigh_gyro_z,right_thigh_quat_w,right_thigh_quat_x,right_thigh_quat_y,right_thigh_quat_z,L0_a,L0_alpha,L0_d,L0_theta,L0_theta_sin,L0_theta_cos,L1_a,L1_alpha,L1_d,L1_theta,L1_theta_sin,L1_theta_cos,L2_a,L2_alpha,L2_d,L2_theta,L2_theta_sin,L2_theta_cos,L3_a,L3_alpha,L3_d,L3_theta,L3_theta_sin,L3_theta_cos,L4_a,L4_alpha,L4_d,L4_theta,L4_theta_sin,L4_theta_cos,R0_a,R0_alpha,R0_d,R0_theta,R0_theta_sin,R0_theta_cos,R1_a,R1_alpha,R1_d,R1_theta,R1_theta_sin,R1_theta_cos,R2_a,R2_alpha,R2_d,R2_theta,R2_theta_sin,R2_theta_cos,R3_a,R3_alpha,R3_d,R3_theta,R3_theta_sin,R3_theta_cos,R4_a,R4_alpha,R4_d,R4_theta,R4_theta_sin,R4_theta_cos,L_hip_x,L_hip_y,L_hip_z,R_hip_x,R_hip_y,R_hip_z,L_thigh_x,L_thigh_y,L_thigh_z,R_thigh_x,R_thigh_y,R_thigh_z,L_knee_x,L_knee_y,L_knee_z,R_knee_x,R_knee_y,R_knee_z,L_shank_x,L_shank_y,L_shank_z,R_shank_x,R_shank_y,R_shank_z,L_ankle_x,L_ankle_y,L_ankle_z,R_ankle_x,R_ankle_y,R_ankle_z,left_knee_angle,right_knee_angle,gait_phase
0.005,-0.28,-0.99,0.078,-0.186,0.098,0.073,0.6448,-0.7223,-0.0568,-0.2432,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0.0,0.0,0.185,0.0,0.0,1.0,0.0,0.0,0.0,-2.326182353163117e-17,-2.326182353163117e-17,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000191689,0.000191688998826,0.9999999816276636,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.185,0.0,0.0,1.0,0.0,0.0,0.0,5.2220867792724704e-17,5.2220867792724704e-17,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.000575066,-0.0005750659683041,0.9999998346495524,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0122326021575265e-17,0.1849999999999999,1.776995567443256e-17,2.0122326021575265e-17,-0.1849999999999999,-1.776995567443256e-17,-2.0122326021575265e-17,0.1849999999999999,1.776995567443256e-17,2.0122326021575265e-17,-0.1849999999999999,-1.776995567443256e-17,0.4999999999999998,0.1849999999999999,3.470311444708504e-17,0.4999999999999998,-0.185,-3.8578142563958e-17,0.4999999999999998,0.1849999999999999,3.470311444708504e-17,0.4999999999999998,-0.185,-3.8578142563958e-17,0.000191689,-0.000575066,0.0
0.01,-0.279,-0.99,0.078,-0.196,0.104,0.071,0.6451,-0.722,-0.0567,-0.2435,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0.0,0.0,0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0007424618449749,-0.0007424617767613,0.999999724375217,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000191689,0.000191688998826,0.9999999816276636,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0007424618449748,-0.0007424617767612,0.999999724375217,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.000575066,-0.0005750659683041,0.9999998346495524,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4210343241889437e-05,0.1849999480957053,0.0001364494250311,-2.4210343241889437e-05,-0.1849999480957053,-0.0001364494250311,2.4210343241889437e-05,0.1849999480957053,0.0001364494250311,-2.4210343241889437e-05,-0.1849999480957053,-0.0001364494250311,0.5000242060617148,0.1849345147177941,0.0001364494250311,0.499975785375231,-0.1850653814736165,-0.0001364494250311,0.5000242060617148,0.1849345147177941,0.0001364494250311,0.499975785375231,-0.1850653814736165,-0.0001364494250311,0.000191689,-0.000575066,0.0
0.015,-0.281,-0.989,0.08,-0.205,0.102,0.066,0.6454,-0.7216,-0.0566,-0.2438,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0.0,0.0,0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0015337345880916,-0.0015337339867804,0.9999988238293372,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000191689,0.000191688998826,0.9999999816276636,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0015337345880916,-0.0015337339867803,0.9999988238293372,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.000575066,-0.0005750659683041,0.9999998346495524,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.065012084076506e-05,0.1849997550708604,0.0002967461657319,-5.065012084076506e-05,-0.1849997550708604,-0.0002967461657319,5.065012084076506e-05,0.1849997550708604,0.0002967461657319,-5.065012084076506e-05,-0.1849997550708604,-0.0002967461657319,0.5000506313813127,0.184862862676265,0.0002967461657319,0.4999493311396311,-0.1851366474654559,-0.0002967461657319,0.5000506313813127,0.184862862676265,0.0002967461657319,0.4999493311396311,-0.1851366474654559,-0.0002967461657319,0.000191689,-0.000575066,0.0
0.02,-0.283,-0.986,0.078,-0.213,0.099,0.062,0.6457,-0.7212,-0.0565,-0.2441,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0.0,0.0,0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0023251761539096,-0.0023251740587544,0.9999972967791444,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000191689,0.000191688998826,0.9999999816276636,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0023251761539095,-0.0023251740587543,0.9999972967791444,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.000575066,-0.0005750659683041,0.9999998346495524,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.721812976583033e-05,0.1849994193516469,0.0004570305393637,-7.721812976583033e-05,-0.1849994193516469,-0.0004570305393637,7.721812976583033e-05,0.1849994193516469,0.0004570305393637,-7.721812976583033e-05,-0.1849994193516469,-0.0004570305393637,0.5000771745747897,0.184790721066782,0.0004570305393637,0.499922738315258,-0.1852081176365117,-0.0004570305393637,0.5000771745747897,0.184790721066782,0.0004570305393637,0.499922738315258,-0.1852081176365117,-0.0004570305393637,0.000191689,-0.000575066,0.0
0.025,-0.281,-0.985,0.076,-0.219,0.096,0.057,0.6461,-0.7208,-0.0564,-0.2444,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0.0,0.0,0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0031279038084683,-0.0031278987080159,0.999995108112871,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000191689,0.000191688998826,0.9999999816276636,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0031279038084682,-0.0031278987080158,0.999995108112871,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.000575066,-0.0005750659683041,0.9999998346495524,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.495341942336808e-05,0.1849988547068602,0.0006440038805341,-9.495341942336808e-05,-0.1849988547068602,-0.0006440038805341,9.495341942336808e-05,0.1849988547068602,0.0006440038805341,-9.495341942336808e-05,-0.1849988547068602,-0.0006440038805341,0.5000948875592209,0.1847422222886041,0.0006440038805341,0.4999049807203741,-0.1852554871251163,-0.0006440038805341,0.5000948875592209,0.1847422222886041,0.0006440038805341,0.4999049807203741,-0.1852554871251163,-0.0006440038805341,0.000191689,-0.000575066,0.0
0.03,-0.283,-0.984,0.074,-0.224,0.095,0.052,0.6465,-0.7203,-0.0563,-0.2447,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0.0,0.0,0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.003979668724879,-0.0039796582200455,0.9999920811288716,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000191689,0.000191688998826,0.9999999816276636,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0039796687248789,-0.0039796582200454,0.9999920811288716,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.000575066,-0.0005750659683041,0.9999998346495524,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001150150961602,0.1849979891308838,0.000854862010521,-0.0001150150961602,-0.1849979891308838,-0.000854862010521,0.0001150150961602,0.1849979891308838,0.000854862010521,-0.0001150150961602,-0.1849979891308838,-0.000854862010521,0.5001149184653633,0.1846871342008582,0.0008548620105211,0.4998848882730426,-0.1853088440609093,-0.0008548620105211,0.5001149184653633,0.1846871342008582,0.0008548620105211,0.4998848882730426,-0.1853088440609093,-0.0008548620105211,0.000191689,-0.000575066,0.0
0.035,-0.277,-0.986,0.074,-0.142,0.096,0.078,0.644,-0.7233,-0.057,-0.2422,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0.0,0.0,0.185,0.0,0.0,1.0,0.0,0.0,0.0,0.0022793755101152,0.0022793735363465,0.9999974022247666,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000191689,0.000191688998826,0.9999999816276636,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.185,0.0,0.0,1.0,0.0,0.0,0.0,0.0022793755101153,0.0022793735363465,0.9999974022247666,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.000575066,-0.0005750659683041,0.9999998346495524,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001337055074175,0.1849994893771954,-0.0004135855585577,0.0001337055074175,-0.1849994893771954,0.0004135855585577,-0.0001337055074175,0.1849994893771954,-0.0004135855585577,0.0001337055074175,-0.1849994893771954,0.0004135855585577,0.499866163906356,0.185360856516498,-0.0004135855585577,0.5001335749211911,-0.1846381222378928,0.0004135855585577,0.499866163906356,0.185360856516498,-0.0004135855585577,0.5001335749211911,-0.1846381222378928,0.0004135855585577,0.000191689,-0.000575066,0.0
0.04,-0.291,-0.973,0.095,-0.151,0.132,0.071,0.6413,-0.7271,-0.0575,-0.2378,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0.0,0.0,0.185,0.0,0.0,1.0,0.0,0.0,0.0,0.0114136676324292,0.0114134198208554,0.9999348648026994,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000191689,0.000191688998826,0.9999999816276636,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.185,0.0,0.0,1.0,0.0,0.0,0.0,0.0114136676324293,0.0114134198208555,0.9999348648026994,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.000575066,-0.0005750659683041,0.9999998346495524,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008764019415481,0.1849880700608864,-0.0019094121570281,0.0008764019415481,-0.1849880700608864,0.0019094121570281,-0.0008764019415481,0.1849880700608864,-0.0019094121570281,0.0008764019415481,-0.1849880700608864,0.0019094121570281,0.4991179869079568,0.1873568501287399,-0.0019094121570281,0.5008707907910532,-0.182619289993033,0.0019094121570281,0.4991179869079568,0.1873568501287399,-0.0019094121570281,0.5008707907910532,-0.182619289993033,0.0019094121570281,0.000191689,-0.000575066,0.0
0.045,-0.285,-0.975,0.07,-0.144,0.123,0.068,0.6424,-0.7256,-0.0574,-0.2396,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0.0,0.0,0.185,0.0,0.0,1.0,0.0,0.0,0.0,0.0078428086189546,0.0078427282178035,0.999969245334126,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000191689,0.000191688998826,0.9999999816276636,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.185,0.0,0.0,1.0,0.0,0.0,0.0,0.0078428086189546,0.0078427282178036,0.999969245334126,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.000575066,-0.0005750659683041,0.9999998346495524,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005468781537408,0.1849946143621418,-0.0013013766892685,0.0005468781537408,-0.1849946143621418,0.0013013766892685,-0.0005468781537408,0.1849946143621418,-0.0013013766892685,0.0005468781537408,-0.1849946143621418,0.0013013766892685,0.4994509371043409,0.1864726999973674,-0.0013013766892685,0.5005446934118225,-0.1835165287269163,0.0013013766892685,0.4994509371043409,0.1864726999973674,-0.0013013766892685,0.5005446934118225,-0.1835165287269163,0.0013013766892685,0.000191689,-0.000575066,0.0
0.0499999999999999,-0.271,-0.977,0.031,-0.155,0.151,0.053,0.6496,-0.7164,-0.0561,-0.2479,-0.064,-0.991,0.064,0.125,0.247,0.092,-0.4109,0.4531,0.5501,0.5683,-0.242,-0.956,-0.159,0.057,-0.14,-0.007,-0.7117,0.5388,-0.3578,-0.2737,0.0,0.0,0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0111331913854041,-0.0111329613974538,0.9999380266649144,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000191689,0.000191688998826,0.9999999816276636,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.185,0.0,0.0,1.0,0.0,0.0,0.0,-0.0111331913854041,-0.0111329613974538,0.9999380266649144,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.000575066,-0.0005750659683041,0.9999998346495524,0.49,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006404295777666,0.1849816526271947,0.0025254784235426,-0.0006404295777666,-0.1849816526271947,-0.0025254784235426,0.0006404295777666,0.1849816526271947,0.0025254784235426,-0.0006404295777666,-0.1849816526271947,-0.0025254784235426,0.5006374330275722,0.183250600572809,0.0025254784235426,0.4993565738720389,-0.1867127046815804,-0.0025254784235426,0.5006374330275722,0.183250600572809,0.0025254784235426,0.4993565738720389,-0.1867127046815804,-0.0025254784235426,0.000191689,-0.000575066,0.0
